record_id,auditor,journal,ref_doc,ref_doc_name___1,ref_doc_name___2,ref_doc_name___3,ref_doc_name___4,ref_doc_name___5,ref_doc_name___6,ref_doc_name___7,ref_doc_name___8,ref_doc_name___9,ref_doc_name___10,ref_doc_name___11,ref_doc_name___12,ref_doc_name___13,ref_doc_name___14,ref_doc_name___15,ref_doc_name___16,ref_doc_name___17,ref_doc_name___18,ref_doc_name___19,ref_doc_name___20,ref_doc_name___21,ref_doc_name___22,ref_doc_name___23,ref_doc_name___24,ref_doc_name___25,ref_doc_name___26,ref_doc_name___27,ref_doc_name___28,ref_doc_name___29,ref_doc_name___30,ref_doc_name___31,prereg_trial,comment_prereg_trial,prereg_other,comment_prereg_other,stat_tests,comment_stat_tests,outcomes,comment_outcomes,alpha,comment_alpha,exclude,comment_exclude,missing,comment_missing,prior,comment_prior,var,comment_var,mean,comment_mean,median,comment_median,no_sem,comment_no_sem,pval,comment_pval,exact_p,comment_exact_p,precision,comment_precision,trend,comment_trend,posterior,comment_posterior,fig_var,comment_fig_var,fig_raw_data,comment_fig_raw_data,pub_data,comment_pub_data,pub_proc,comment_pub_proc,pub_stat,comment_pub_stat,inconsistent,inconsistent_txt,audit_complete
54,5,44,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,2,"'This journal applies the Taylor & Francis Basic Data Sharing Policy. Authors are encouraged to share or make open the data supporting the results or analyses presented in their paper where this does not violate the protection of human subjects or other valid privacy or security concerns.'   ",1,"Not mentioned specifically.  ",1,"See comment above. NOTE re reporting guidelines listed at the start. These are only an indirect reference if I clicked the ICMJE link. It is a typical Taylor Francis standard guidelines document with some adjustment for the particular journal",1,"It was confusing as there are the general guidelines for Taylor and Francis journals with a mention of the IMJCE policies separately.  One could spend a lot of time looking for minor inconsistencies.  NOT simple for an author - better for them to go to recent papers published in the journal itself!",2
55,5,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,2,"'The assumptions and (or) the model underlying any statistical analysis should be clearly stated. Do not use symbols such as * and ** to denote levels of significance unless accompanied by actual p values.'",2,"see note above",1,,1,,1,,1,,1,,1,"Mentioned but weak:  'Supply a data availability statement that says WHETHER the data underpinning the work are available. If yes, specify how data can be accessed and under what conditions data can be reused. Supply repository name, persistent unique identifier ...'",1,,1,"NOTE re first section: authors told to go to Equator. 'Study reporting guidelines can help authors report their work transparently and accurately. We encourage their use. Up-to-date guidelines can be found at the EQUATOR Network, where authors can consult the flow chart or wizard to identify which guideline(s) to use. A completed copy of the guideline checklist may be submitted with the manuscript as a Supplementary file.'",0,,2
56,5,12,1,1,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,3,,1,,1,,1,,1,,1,,1,,1,,2,"'should' This is from the paragraph on Tables:   'Statistical measures such as SD or SEM should be identified in the headings'",1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,2,"'Brain and Behavior expects you to archive all the data from which your published results are derived in a public repository. '",1,"code/spreadsheets not mentioned specifically but see note above. ",1,"code/spreadsheets not mentioned specifically but see note above.     SEPARATE NOTE re first section: the journal lists 11 guidelines to use.  The next paragraph has even more:   'We also encourage authors to refer to and follow guidelines from:  •	Future of Research Communications and e-Scholarship (FORCE11)  •	National Research Council's Institute for Laboratory Animal Research guidelines  •	The Gold Standard Publication Checklist from Hooijmans and colleagues  •	Minimum Information Guidelines from Diverse Bioscience Communities (MIBBI) website  •	FAIRsharing website  '",0,,2
57,3,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3," A statement confirming that, following IPA, the   authors agree to register their approved protocol   on the Open Science Framework or other   recognized repository, either publicly or under   private embargo until submission of the Stage 2   manuscript.",3,,3,"Detailed information on each analysis performed   is included with specific p values.    The authors must state the statistical methods they have used: descriptive and/or experimental design. ",1,"The outcomes of confirmatory pre-registered   analyses are, in all cases, clearly distingiushed   from the outcomes of any additional unregistered   analyses.",1,,2,,1,,1,,1,,1,,1,,1,,2,"Detailed information on each analysis performed   is included with specific p values.",3,"Authors reporting null hypothesis significance tests are required to report exact p values and effect sizes for all inferential analyses.",2,"Statistical analysis should always include effect sizes and expressions of uncertainty (an interval estimate).",1,,1,,1,,2,,3,"Anonymized raw data and digital study materials must be made freely available in a public repository/archive with a link provided within the Stage 2 manuscript.  ",3,"That the manuscript includes a link to the public   archive containing anonymized study data, digital materials/code and the laboratory log.     New computational neuroscience computer code must be included with the initial submission as Extended Data to ensure reproducibility if published and be deposited in a suitable repository such as GitHub, ModelDB, BioModels, CellML, or Visiome",1,"States: The following resources offer helpful guidelines on how to report statistical results:    citing Curran-Everitt, ""The following resources offer helpful guidelines on how to report statistical results:""",0,,2
58,3,27,1,1,0,1,0,1,1,1,1,0,0,1,0,1,0,0,0,0,1,0,1,1,1,1,1,0,1,0,0,0,0,1,3,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,2,,2,"All authors are requested to make sure that all data and materials as well as software application or custom code support their published claims and comply with field standards. ",1,,0,,2
59,6,84,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,2,"Cell Press journals support the pre-registration of both clinical trials and analysis plans in curated, public repositories when authors consider it appropriate. ",1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,2,"For pooled data only: For any figures presenting pooled data, the measures should be defined in the figure legends (for example, ""Data are represented as mean ± SEM.""). ",1,,2,"For some data public availability is mandatory, for other types it is encouraged.",3,"any previously unreported custom computer code or algorithm used to generate results that are central to the main conclusions of a paper must be archived in a publicly accessible repository",3,"any previously unreported custom computer code or algorithm used to generate results that are central to the main conclusions of a paper must be archived in a publicly accessible repository",0,,1
60,1,33,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,"both recommend that clinical trials should be registered prospectively",1,,3,,3,,3,,1,,1,,1,,3,"Important descriptive statistics, such as mean and standard deviation  (SD), or standard error of the mean (SEM), need to be either  represented graphically or numerically in the text.",3,"??Important descriptive statistics, such as mean and standard deviation  (SD), or standard error of the mean (SEM), need to be either  represented graphically or numerically in the text.",1,,1,,3,,3,,1,,1,,1,,3,,1,,3,"This journal mandates and peer reviews data sharing",1,,1,"Refers to   Reporting statistical methods and statistical results in EJR  European Journal of Neuroscience, Vol. 28, pp. 2363-2364, 2008    for statistical guidelines",0,,2
61,1,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,2,,2,,2,,0,,2
62,1,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,"not specifically mentioned foro clinical trials  The journal offers the option to preregister a study and its data analysis plan ",2,,3,,1,,1,,3,"'They should also disclose any data exclusions'  Does not mention criteria?",1,,2,"and/or include Bayesian statistics that can assess evidence for the null hypothesis ??",1,,1,,1,,1,,3,"Implied  Test statistics should be reported with two decimal points",3,,1,"'encourages researchers to also report effect sizes (e.g., Szucs & Ioannidis, 2017) '     No mention of measure of precision   ",1,,2,"and/or include Bayesian statistics that can assess evidence for the null hypothesis ??",1,,1,,2,,2,"endorse depositing of materials, data, and analysis scripts",2,"**See excel spreadsheet for approx 10 refs for reporting guidelines not used here. Should these be added? DISCUSS",0,,0
63,1,80,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,3,,1,,3,,3,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,3,,1,,1,,1,,1,,2,,2,"publish algorithms",1,"**Authors are strongly encouraged to use appropriate reporting guidelines (comment for q1)    This includes ICMJE RECOMMENDATIONS PDF - ",0,,2
64,3,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,"If clinical trials were used, a statement of registration is required - not sure if this is enough?",1,,1,,1,,1,,1,,1,,1,,1,,2,"Advances in Physiology Education supports adherence of two of the 2004 Guidelines for Reporting Statistics:  Guideline 5. Report variability using a standard deviation. If the standard deviation is not a meaningful estimate of variability, as when the data are skewed, then the range or interquartile range provide more meaningful estimates",2,,1,,1,,2,,1,,1,,1,,1,,2,"Authors are strongly encouraged to present graphical data in a format that shows the range of data points in relation to the mean value and significance (i.e. dot-whisker plots) rather than formats that may mask the variability (i.e. bar graphs).",3,"Provide the experimental data and results as well as the particular statistical significance of the data.     To facilitate better reporting of information and data that are auxiliary or ancillary to the main content of the article, data supplements must now be deposited in generalist public access data repository if no community resource is available ",2,"1.	Upon submission of a paper reporting computer simulation using original, author-generated code, authors are encouraged to deposit software and code via a public repository, such as GitHub, if not already deposited to a public repository",1,,1,"Some instructions ""encourage"" authors to deposit data in repositories while further down in the instructions it states you ""must"" deposit them. Unclear if it is an ""encourage"" or ""mandate""?    Encouraged authors to consult the APS editorial. ",2
65,3,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,,1,,1,,1,,1,,1,,1,,1,,1,,2,,2,,1,,1,,2,,1,,1,,1,,1,,2,,3,,2,,1,"Encourages authors to consult the APS editorial. ",1,"Some instructions ""encourage"" authors to deposit data in repositories while further down in the instructions it states you ""must"" deposit them. Unclear if it is an ""encourage"" or ""mandate""?",2
66,6,88,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,2,,1,,1,,0,,1
67,6,93,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,,2,"Authors should indicate in Acknowledgements whether or not the conducted research was preregistered with an analysis plan in an independent, institutional registry. ",1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,2,,2,,2,,0,,1
68,6,97,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Registration but not pre-registration required: If clinical trials were used, a statement of registration is required",1,,3,,1,,3,,1,,1,,1,,1,,3,,3,,1,,1,,3,,1,,1,,1,,1,,1,,3,,1,,1,,0,,1
69,1,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,2,,1,,1,,0,,2
70,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,1,"Journal publishes registered reports. Strongly recommends pre-registration for replication studies only",1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,0,,0
71,2,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,2,,1,,1,,0,,0
72,2,86,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,0,,0
73,2,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,0,,0
74,2,98,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,2,,2,,2,,0,,0
75,2,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,0,,0
76,2,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,1,,1,,1,,1,,1,,1,,1,,3,"Stated in Tables",1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,0,,0
77,2,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,2,,1,,1,,0,,0
78,2,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,"In Editorial Policies",1,"Register systematic reviews",1,,2,,3,,1,,1,,1,,3,,1,,1,,1,,3,,3,,1,,1,,1,,3,,1,,2,"In Editorial Policies",1,,1,,0,,0
79,2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,2,,1,,1,,0,,0
80,2,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,0,,0
81,2,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,2,,1,,1,,0,,0
82,4,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,2,,2,,2,,0,,2
83,4,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,0,,2
84,4,45,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,2,,2,,2,,0,,2
85,4,31,1,1,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,1,3,,1,,2,"We encourage inclusion of complete statistical analyses and full data sets at the individual level, but these should be presented in tables or as Electronic Supplementary Material (ESM).",2,"We encourage inclusion of complete statistical analyses and full data sets at the individual level, but these should be presented in tables or as Electronic Supplementary Material (ESM).",1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,2,,2,"This journal operates a type 2 research data policy (life sciences). A submission to the journal implies that materials described in the manuscript, including all relevant raw data, will be freely available to any researcher wishing to use them for non-commercial purposes, without breaching participant confidentiality.  The journal strongly encourages that all datasets on which the conclusions of the paper rely should be available to readers. We encourage authors to ensure that their datasets are either deposited in publicly available repositories (where available and appropriate) or presented in the main manuscript or additional supporting files whenever possible. ",1,,1,,0,,0
86,4,7,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,,1,,1,,1,,1,,1,,1,,1,,1,"define the values provided (e.g., mean and standard deviation or standard error, median, and interquartile range), and ",1,"define the values provided (e.g., mean and standard deviation or standard error, median, and interquartile range), and ",3,"define the values provided (e.g., mean and standard deviation or standard error, median, and interquartile range), and ",1,"define the values provided (e.g., mean and standard deviation or standard error, median, and interquartile range), and ",3,,1,,1,,1,,1,,3,,1,,2,"Supply a data availability statement that says whether the data underpinning the work are available. If yes, specify how data can be accessed and under what conditions data can be reused. Supply repository name, persistent unique identifier (PID: DOI/compact identifier/accession number), and hyperlink.    We encourage authors to make their primary research data publicly available for all articles reporting original research.",1,,1,,0,,0
87,4,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,0,,0
88,4,21,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,,1,,1,,1,,3,"The level of statistical significance (alpha) should be defined and it should be stated explicitly whether this refers to one- or two-sided probability. Nevertheless, exact P values should be given to a sensible number of significant figures (e.g. P = 0.01 rather than P = 0.0058). The risk of type 1 error (a false positive inference) should always be controlled. ",1,,1,,1,,3,,3,"Data should be expressed as mean (SD) when the intention is to indicate the degree of variability of the data around the mean value, and as mean ± SEM when the intention is to estimate the population mean from the sample data. In either case, the numbers of observations (n) should be stipulated. This allows the reader to calculate SD from SEM and vice versa. ",1,,1,"Data should be expressed as mean (SD) when the intention is to indicate the degree of variability of the data around the mean value, and as mean ± SEM when the intention is to estimate the population mean from the sample data. In either case, the numbers of observations (n) should be stipulated. This allows the reader to calculate SD from SEM and vice versa. ",3,,3,,2,,1,,1,,3,,1,,2,"Note: if data, scripts, or other artefacts used to generate the analyses presented in the paper are available via a publicly available data repository, authors should include a reference to the location of the material within their paper.    The journal encourages authors to share the data and other artefacts supporting the results in the paper by archiving it in an appropriate public repository. Authors should include a data accessibility statement, including a link to the repository they have used, in order that this statement can be published alongside their paper.",1,"Note: if data, scripts, or other artefacts used to generate the analyses presented in the paper are available via a publicly available data repository, authors should include a reference to the location of the material within their paper.",1,"Note: if data, scripts, or other artefacts used to generate the analyses presented in the paper are available via a publicly available data repository, authors should include a reference to the location of the material within their paper.",0,,0
89,4,37,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,"NOTE: If the research study was registered (clause 35 of the Declaration of Helsinki) the registration database should be indicated, else the lack of registration should be noted as an exception (e.g. The study conformed to the standards set by the Declaration of Helsinki, except for registration in a database.);  ",3,"NOTE: If the research study was registered (clause 35 of the Declaration of Helsinki) the registration database should be indicated, else the lack of registration should be noted as an exception (e.g. The study conformed to the standards set by the Declaration of Helsinki, except for registration in a database.);      Registered Reports are a form of empirical article in which the methods and proposed analyses are pre-registered and reviewed prior to research being conducted. ",1,,1,,3,,1,"Clearly indicate any inclusion or exclusion criteria",1,"Clearly indicate any inclusion or exclusion criteria",3,,3," To characterise a normally distributed sample, report the mean (SD), and the number of samples (n). Use an appropriate number of significant figures. If samples are not normally distributed, use median and quartile values, or transform the data to obtain a more normal distribution. When describing the precision of estimation of a mean value, 95% confidence limits of the mean should be used, rather than the SEM. ",3," To characterise a normally distributed sample, report the mean (SD), and the number of samples (n). Use an appropriate number of significant figures. If samples are not normally distributed, use median and quartile values, or transform the data to obtain a more normal distribution. When describing the precision of estimation of a mean value, 95% confidence limits of the mean should be used, rather than the SEM. ",3," To characterise a normally distributed sample, report the mean (SD), and the number of samples (n). Use an appropriate number of significant figures. If samples are not normally distributed, use median and quartile values, or transform the data to obtain a more normal distribution. When describing the precision of estimation of a mean value, 95% confidence limits of the mean should be used, rather than the SEM. ",3," To characterise a normally distributed sample, report the mean (SD), and the number of samples (n). Use an appropriate number of significant figures. If samples are not normally distributed, use median and quartile values, or transform the data to obtain a more normal distribution. When describing the precision of estimation of a mean value, 95% confidence limits of the mean should be used, rather than the SEM. ",3,"Use the exact P value, to the appropriate number of decimals, particularly when values are near a stated limit. For example, P = 0.051 and P = 0.049 have very similar implications.",3," To characterise a normally distributed sample, report the mean (SD), and the number of samples (n). Use an appropriate number of significant figures. If samples are not normally distributed, use median and quartile values, or transform the data to obtain a more normal distribution. When describing the precision of estimation of a mean value, 95% confidence limits of the mean should be used, rather than the SEM. ",3," To characterise a normally distributed sample, report the mean (SD), and the number of samples (n). Use an appropriate number of significant figures. If samples are not normally distributed, use median and quartile values, or transform the data to obtain a more normal distribution. When describing the precision of estimation of a mean value, 95% confidence limits of the mean should be used, rather than the SEM. ",3,"Use the exact P value, to the appropriate number of decimals, particularly when values are near a stated limit. For example, P = 0.051 and P = 0.049 have very similar implications.",3,Implied,3,Implied,2,"Where possible, graphs should show individual values, rather than solid bars indicating a mean value. If a plot of individual values obscures some of the data presented, a box and whisker plot can be used to show mean or median, and 95% confidence intervals or quartiles.",2,"Please state access codes for data deposition (e.g. protein/DNA/RNA sequences, macromolecular structures) and where relevant, indicate where computer source codes can be obtained.    Experimental Physiology is committed to encouraging the free exchange of scientific information and to promote progress in all areas of physiological research. Experimental Physiology requires, as a condition for publication, that nucleic acid and protein sequences, microarray data and data obtained using high throughput sequencing techniques, which support the results in the paper, should be archived in an appropriate public database (see below) and must be accessible without restriction from the date of publication.    Experimental Physiology requires the provision of a Data Availability Statement for all papers reporting original data, both in the manuscript and in the appropriate field during submission.  The Data Availability Statement should describe the availability of these data. If any data cannot be shared, the reason(s) should also be outlined in this statement. Authors must include in their Statement a link to the repository they have used (if applicable), reference the data in the appropriate sections(s) of their manuscript and cite the data they have shared in the References section. Whenever possible the scripts and other artefacts used to generate the analyses presented in the paper should also be publicly available/archived.   If sharing data compromises ethical standards or legal requirements then authors are not expected to share them, but should note this in their Statement. ",2,"Please state access codes for data deposition (e.g. protein/DNA/RNA sequences, macromolecular structures) and where relevant, indicate where computer source codes can be obtained.    Experimental Physiology requires the provision of a Data Availability Statement for all papers reporting original data, both in the manuscript and in the appropriate field during submission.  The Data Availability Statement should describe the availability of these data. If any data cannot be shared, the reason(s) should also be outlined in this statement. Authors must include in their Statement a link to the repository they have used (if applicable), reference the data in the appropriate sections(s) of their manuscript and cite the data they have shared in the References section. Whenever possible the scripts and other artefacts used to generate the analyses presented in the paper should also be publicly available/archived.   If sharing data compromises ethical standards or legal requirements then authors are not expected to share them, but should note this in their Statement. ",2,"Please state access codes for data deposition (e.g. protein/DNA/RNA sequences, macromolecular structures) and where relevant, indicate where computer source codes can be obtained.    Experimental Physiology requires the provision of a Data Availability Statement for all papers reporting original data, both in the manuscript and in the appropriate field during submission.  The Data Availability Statement should describe the availability of these data. If any data cannot be shared, the reason(s) should also be outlined in this statement. Authors must include in their Statement a link to the repository they have used (if applicable), reference the data in the appropriate sections(s) of their manuscript and cite the data they have shared in the References section. Whenever possible the scripts and other artefacts used to generate the analyses presented in the paper should also be publicly available/archived.   If sharing data compromises ethical standards or legal requirements then authors are not expected to share them, but should note this in their Statement. ",0,,0
90,4,82,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,3,"All clinical trials must be registered in a public trials registry to be considered for publication, and authors should be compliant with the Consolidated Standards of Reporting Trials (CONSORT).",1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,2,"We encourage research data to be archived in data repositories wherever possible.    A submission to the journal implies that materials described in the manuscript, including all relevant raw data, will be freely available to any researcher wishing to use them for non-commercial purposes, without breaching participant confidentiality.  The journal strongly encourages that all datasets on which the conclusions of the paper rely should be available to readers. We encourage authors to ensure that their datasets are either deposited in publicly available repositories (where available and appropriate) or presented in the main manuscript or additional supporting files whenever possible.",1,,1,,0,,0
91,4,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,0,,0
92,4,13,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,2,"This journal encourages and enables you to share data that supports your research publication where appropriate, and enables you to interlink the data with your published articles. Research data refers to the results of observations or experimentation that validate research findings. To facilitate reproducibility and data reuse, this journal also encourages you to share your software, code, models, algorithms, protocols, methods and other useful materials related to the project.",2,"This journal encourages and enables you to share data that supports your research publication where appropriate, and enables you to interlink the data with your published articles. Research data refers to the results of observations or experimentation that validate research findings. To facilitate reproducibility and data reuse, this journal also encourages you to share your software, code, models, algorithms, protocols, methods and other useful materials related to the project.",2,"This journal encourages and enables you to share data that supports your research publication where appropriate, and enables you to interlink the data with your published articles. Research data refers to the results of observations or experimentation that validate research findings. To facilitate reproducibility and data reuse, this journal also encourages you to share your software, code, models, algorithms, protocols, methods and other useful materials related to the project.",0,,0
93,4,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,2,"This journal encourages and enables you to share data that supports your research publication where appropriate, and enables you to interlink the data with your published articles. Research data refers to the results of observations or experimentation that validate research findings. To facilitate reproducibility and data reuse, this journal also encourages you to share your software, code, models, algorithms, protocols, methods and other useful materials related to the project.",2,"This journal encourages and enables you to share data that supports your research publication where appropriate, and enables you to interlink the data with your published articles. Research data refers to the results of observations or experimentation that validate research findings. To facilitate reproducibility and data reuse, this journal also encourages you to share your software, code, models, algorithms, protocols, methods and other useful materials related to the project.",2,"This journal encourages and enables you to share data that supports your research publication where appropriate, and enables you to interlink the data with your published articles. Research data refers to the results of observations or experimentation that validate research findings. To facilitate reproducibility and data reuse, this journal also encourages you to share your software, code, models, algorithms, protocols, methods and other useful materials related to the project.",0,,0
94,1,46,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,,1,,3,"figures only -   Information reported in figures and legends are required to describe each individual experiment presented, including the number of samples or animals used, the statistical test performed, ",1,,3,,1,,1,,1,,3,"Not specifically stated  but does state Report variability using a standard deviation",3,"Report variability using a standard deviation  then later states for tables:	  Statistical measures of variations, SD, SE, etc., must be identified. (Example: ""Values are means ± SE."")",3,,1,,3,,3,,1,,1,,1,,2,"Authors are strongly encouraged to present graphical data in a format that shows the range of data points in relation to the mean value and significance (i.e. dot-whisker plots) rather than formats that may mask the variability (i.e. bar graphs).",1,,2,"strongly encouraged",2,"strongly encouraged",1,,0,,2
